Ref,Val,Package,PosX,PosY,Rot,Side
"R112A","10k","R_0603_1608Metric",23.164691,-44.389107,0.000000,top
"R113","22k","R_0603_1608Metric",89.941772,-106.357265,0.000000,top
"R113A","10k","R_0603_1608Metric",21.872364,-41.026265,0.000000,top
"R114","24k9 (EN divider - EN abs max 6V!)","R_0603_1608Metric",102.008991,-12.861334,0.000000,top
"R114A","3.3k","R_0603_1608Metric",19.585311,-58.994897,0.000000,top
"R115A","6.8k","R_0603_1608Metric",16.663846,-53.706689,0.000000,top
"R116A","4.7k","R_0603_1608Metric",16.506942,-49.175750,0.000000,top
"R117A","10k","R_0603_1608Metric",17.993700,-44.989197,0.000000,top
"R118A","220k","R_0603_1608Metric",36.600000,-70.000000,0.000000,top
"R119A","680","R_0603_1608Metric",45.300000,-65.000000,0.000000,top
"R120A","680","R_0603_1608Metric",45.846282,-61.560722,0.000000,top
"R121A","10k","R_0603_1608Metric",57.553131,-58.096948,0.000000,top
"R122A","220k","R_0603_1608Metric",93.232352,-55.232352,0.000000,top
"R123A","680","R_0603_1608Metric",62.844894,-59.216176,0.000000,top
"R124A","680","R_0603_1608Metric",50.702982,-61.572970,0.000000,top
"R125A","10k","R_0603_1608Metric",20.974959,-36.920928,0.000000,top
"R126A","220k","R_0603_1608Metric",20.181385,-63.151948,0.000000,top
"R127A","100k","R_0603_1608Metric",20.142079,-67.155189,0.000000,top
"R130","100k","R_0603_1608Metric",112.567338,-62.352816,0.000000,top
"R131","100k","R_0603_1608Metric",127.600863,-67.302977,0.000000,top
"R132","100k","R_0603_1608Metric",131.600287,-72.034325,0.000000,top
"R133","200k","R_0603_1608Metric",132.690178,-68.215040,0.000000,top
"R134","100k","R_0603_1608Metric",132.102087,-86.510013,0.000000,top
"R135","3.9k","R_0603_1608Metric",126.857654,-88.829273,0.000000,top
"R136","150k","R_0603_1608Metric",133.657295,-89.880803,0.000000,top
"R137","100k","R_0603_1608Metric",116.863703,-100.035276,90.000000,top
"R138","47k","R_0603_1608Metric",119.000000,-102.000000,90.000000,top
"R139","1k","R_0603_1608Metric",119.000000,-96.000000,90.000000,top
"R140","100k","R_0603_1608Metric",29.963680,-29.050146,0.000000,top
"R141","47k","R_0603_1608Metric",62.985646,-55.150972,0.000000,top
"R142","10k","R_0603_1608Metric",50.429705,-64.949446,0.000000,top
"R143","100k","R_0603_1608Metric",15.707206,-36.966797,0.000000,top
"R144","47k","R_0603_1608Metric",17.957436,-25.674695,0.000000,top
"R145","10k","R_0603_1608Metric",14.662643,-57.567064,0.000000,top
"R146","10k","R_0603_1608Metric",40.846181,-74.601597,0.000000,top
"R147","10k","R_0603_1608Metric",87.578661,-70.644086,0.000000,top
"R148","10k","R_0603_1608Metric",114.479759,-85.305137,0.000000,top
"R149","20k","R_0603_1608Metric",115.572659,-77.420370,0.000000,top
"R150","1k","R_0603_1608Metric",134.419233,-64.811741,0.000000,top
"R161","10k","R_0603_1608Metric",56.665334,-61.507255,0.000000,top
"R162","10k","R_0603_1608Metric",55.740685,-70.123304,0.000000,top
"R163","10k","R_0603_1608Metric",62.549690,-63.370417,0.000000,top
"R164","10k","R_0603_1608Metric",76.082629,-56.029123,0.000000,top
"R165","10k","R_0603_1608Metric",62.792220,-68.417418,0.000000,top
"R166","10k","R_0603_1608Metric",62.273322,-72.862634,0.000000,top
"R167","10k","R_0603_1608Metric",55.675294,-66.416641,0.000000,top
"R168","10k","R_0603_1608Metric",17.854834,-33.236276,0.000000,top
"R169","10k","R_0603_1608Metric",56.171171,-74.223455,0.000000,top
"R170","1k","R_0603_1608Metric",61.091949,-84.597825,0.000000,top
"R171","10k","R_0603_1608Metric",72.866666,-101.000000,0.000000,top
"R172","10k","R_0603_1608Metric",69.487953,-108.318601,0.000000,top
"R173","100R","R_0603_1608Metric",91.600000,-109.771281,0.000000,top
"R174","10k","R_0603_1608Metric",81.878086,-51.691776,0.000000,top
"RV1","10k trim (3224W)","Potentiometer_Bourns_3224W_Vertical",108.000000,-109.000000,0.000000,top
"RV2","10k trim (3224W)","Potentiometer_Bourns_3224W_Vertical",116.000000,-109.000000,0.000000,top
"RV3","10k trim (3224W)","Potentiometer_Bourns_3224W_Vertical",124.000000,-109.000000,0.000000,top
"SW1","+6dB (short=OFF)","SW_SPDT_PCM12",14.000000,-80.000000,0.000000,top
"SW2","JFET in/out","SW_SPDT_PCM12",23.000000,-80.000000,0.000000,top
"SW3","ladder in/out","SW_SPDT_PCM12",32.000000,-80.000000,0.000000,top
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",120.000000,-42.000000,0.000000,top
"U2","TL074","SOIC-14_3.9x8.7mm_P1.27mm",120.000000,-62.000000,0.000000,top
"U3","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",106.000000,-72.000000,0.000000,top
"U5","LM567 (SO-8)","SOIC-8_3.9x4.9mm_P1.27mm",97.000000,-50.000000,0.000000,top
"U6","TL074","SOIC-14_3.9x8.7mm_P1.27mm",55.000000,-30.000000,0.000000,top
"U7","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",97.000000,-66.000000,0.000000,top
"U8","CD4052B","SOIC-16_3.9x9.9mm_P1.27mm",96.000000,-86.000000,0.000000,top
"U9","TL074","SOIC-14_3.9x8.7mm_P1.27mm",70.000000,-42.000000,0.000000,top
"U10","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",70.000000,-64.000000,0.000000,top
"U11","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",48.000000,-50.000000,0.000000,top
"U12","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",48.000000,-74.000000,0.000000,top
"U13","CD4051B","SOIC-16_3.9x9.9mm_P1.27mm",72.000000,-86.000000,0.000000,top
"U14","TL074","SOIC-14_3.9x8.7mm_P1.27mm",38.000000,-44.000000,0.000000,top
"U15","LM13700","SOIC-16_3.9x9.9mm_P1.27mm",38.000000,-60.000000,0.000000,top
"U16","TL074","SOIC-14_3.9x8.7mm_P1.27mm",24.000000,-52.000000,0.000000,top
"U17","TL074","SOIC-14_3.9x8.7mm_P1.27mm",124.000000,-78.000000,0.000000,top
"U18","L78L09","SOT-89-3",80.000000,-27.000000,0.000000,top
"U19","MP1584EN","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",88.000000,-16.000000,0.000000,top
"U20","Raspberry Pi Pico","RPi_Pico_SMD",38.000000,-98.000000,90.000000,top
"U21","74HC4067","SOIC-24W_7.5x15.4mm_P1.27mm",86.000000,-96.000000,0.000000,top
"U22","74AHCT1G125","SOT-23-5",84.000000,-110.000000,0.000000,top
