Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint
R168,17.854834,-33.236276,Top,0.000000,10k,R_0603_1608Metric
R169,56.171171,-74.223455,Top,0.000000,10k,R_0603_1608Metric
R170,61.091949,-84.597825,Top,0.000000,1k,R_0603_1608Metric
R171,72.866666,-101.000000,Top,0.000000,10k,R_0603_1608Metric
R172,69.487953,-108.318601,Top,0.000000,10k,R_0603_1608Metric
R173,91.600000,-109.771281,Top,0.000000,100R,R_0603_1608Metric
R174,81.878086,-51.691776,Top,0.000000,10k,R_0603_1608Metric
RV1,108.000000,-109.000000,Top,0.000000,10k trim (3224W),Potentiometer_Bourns_3224W_Vertical
RV2,116.000000,-109.000000,Top,0.000000,10k trim (3224W),Potentiometer_Bourns_3224W_Vertical
RV3,124.000000,-109.000000,Top,0.000000,10k trim (3224W),Potentiometer_Bourns_3224W_Vertical
SW1,14.000000,-80.000000,Top,0.000000,+6dB (short=OFF),SW_SPDT_PCM12
SW2,23.000000,-80.000000,Top,0.000000,JFET in/out,SW_SPDT_PCM12
SW3,32.000000,-80.000000,Top,0.000000,ladder in/out,SW_SPDT_PCM12
U1,120.000000,-42.000000,Top,0.000000,TL074,SOIC-14_3.9x8.7mm_P1.27mm
U2,120.000000,-62.000000,Top,0.000000,TL074,SOIC-14_3.9x8.7mm_P1.27mm
U3,106.000000,-72.000000,Top,0.000000,LM13700,SOIC-16_3.9x9.9mm_P1.27mm
U5,97.000000,-50.000000,Top,0.000000,LM567 (SO-8),SOIC-8_3.9x4.9mm_P1.27mm
U6,55.000000,-30.000000,Top,0.000000,TL074,SOIC-14_3.9x8.7mm_P1.27mm
U7,97.000000,-66.000000,Top,0.000000,LM13700,SOIC-16_3.9x9.9mm_P1.27mm
U8,96.000000,-86.000000,Top,0.000000,CD4052B,SOIC-16_3.9x9.9mm_P1.27mm
U9,70.000000,-42.000000,Top,0.000000,TL074,SOIC-14_3.9x8.7mm_P1.27mm
U10,70.000000,-64.000000,Top,0.000000,LM13700,SOIC-16_3.9x9.9mm_P1.27mm
U11,48.000000,-50.000000,Top,0.000000,LM13700,SOIC-16_3.9x9.9mm_P1.27mm
